epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
20,118.1123,119.7997,117.6244,118.2844,117.8607,119.7776,117.6935,117.9132,117.6975,118.5614,117.994,117.806,118.3934,117.7856,118.1982,117.6442,117.8003,117.9839,117.7272,117.1025,117.6105,117.6615,117.3785,117.6331,122.3668,118.0194,118.3001,117.9597,117.9659,117.7073,117.621,117.6094
21,124.0058,125.5508,123.607,124.1912,123.6878,125.87,123.4737,123.8223,123.5339,124.4007,123.7924,123.6722,124.2134,123.6079,124.1696,123.598,123.7105,123.8257,123.4905,123.0644,123.3994,123.4871,123.3488,123.4847,128.1628,123.898,124.2305,123.9747,123.9438,123.6967,123.6728,123.5999
22,129.8948,131.4767,129.3699,130.1615,129.7476,131.7448,129.4775,129.5851,129.5114,130.3858,129.7695,129.6558,130.1281,129.4227,129.9837,129.3718,129.6506,129.7851,129.3639,128.8296,129.373,129.3353,129.1418,129.4035,134.1404,129.9004,130.0694,129.7644,129.7022,129.5041,129.5603,129.4222
23,135.7875,137.3345,135.3656,136.035,135.5836,137.8092,135.2357,135.5626,135.3467,136.1842,135.5597,135.462,136.1015,135.3417,135.9955,135.3491,135.4112,135.5316,135.2828,134.8225,135.1437,135.2929,135.1077,135.2068,139.9195,135.7238,135.9246,135.6492,135.5926,135.4681,135.6687,135.3995
24,141.6802,143.1128,141.127,142.0489,141.5638,143.668,141.1877,141.3323,141.4178,142.1927,141.523,141.3732,141.9076,141.0809,141.8378,141.1954,141.3924,141.5228,141.0665,140.5695,141.1522,141.0856,140.8875,141.2374,145.8796,141.7224,141.8718,141.6037,141.5305,141.331,141.4697,141.1939
25,147.5509,149.0642,147.0394,147.8365,147.3433,149.6183,146.9637,147.3595,147.2293,147.9856,147.2952,147.3577,147.9503,147.0659,147.8466,147.0615,147.1554,147.308,147.0485,146.4732,146.9277,147.0929,146.7394,147.0009,151.6611,147.5137,147.6558,147.4128,147.3446,147.2239,147.3821,147.1194
26,153.4518,154.8371,152.911,153.8394,153.2809,155.5467,152.8081,153.1058,153.2671,153.987,153.2178,153.1895,153.7293,152.846,153.6389,152.9821,153.1321,153.2135,152.8116,152.3683,152.8703,152.8801,152.658,152.9558,157.6027,153.477,153.6823,153.4031,153.3445,153.1479,153.288,152.9846
27,159.3086,160.8596,158.7078,159.6097,159.1876,161.4202,158.6726,158.9945,159.0805,159.8047,159.0971,159.2105,159.7645,158.8723,159.555,158.7798,158.8917,159.0148,158.7918,158.1253,158.7942,158.8136,158.4314,158.7208,163.4692,159.2617,159.507,159.1914,159.1377,158.9453,159.0704,158.7837
28,165.2051,166.6492,164.6815,165.5183,165.0344,167.4365,164.4352,164.8195,165.0135,165.685,164.903,165.0394,165.5757,164.6496,165.5077,164.7521,164.8008,164.8269,164.5647,164.0916,164.6564,164.5679,164.4488,164.6306,169.3,165.1415,165.5218,165.1777,165.1207,164.9569,165.0921,164.7589
29,171.0865,172.6522,170.447,171.4063,171.0089,173.2583,170.4081,170.583,170.9827,171.6475,170.8596,171.0259,171.5493,170.5176,171.3307,170.5917,170.6669,170.7223,170.483,169.8488,170.6776,170.5353,170.2255,170.4982,175.2787,171.0995,171.3218,170.9653,170.9207,170.7386,170.91,170.5203
30,176.9747,178.525,176.4506,177.2328,176.8137,179.3102,176.1827,176.549,176.7932,177.434,176.6418,176.8438,177.4193,176.4244,177.3334,176.5841,176.4672,176.5136,176.3271,175.7872,176.4221,176.454,176.2081,176.3073,181.1018,176.9396,177.2245,176.9184,176.8557,176.7319,176.9101,176.5103
31,182.8646,184.4164,182.247,183.2082,182.8534,185.1473,182.1812,182.314,182.7753,183.4667,182.6578,182.8363,183.276,182.2527,183.133,182.3604,182.4537,182.4723,182.0984,181.5454,182.4477,182.2731,181.9796,182.2763,187.0995,182.9551,183.095,182.8013,182.7205,182.5094,182.6723,182.2774
32,188.7496,190.3698,188.2486,189.0052,188.6831,191.1959,187.9815,188.2561,188.5495,189.256,188.4874,188.693,189.255,188.2511,189.1366,188.2688,188.2234,188.2111,188.1534,187.4293,188.2328,188.2225,187.8997,188.0356,192.9252,188.7729,188.9126,188.7232,188.5693,188.4184,188.637,188.2326
33,194.6519,196.171,194.0457,195.0296,194.6783,197.0648,193.8918,194.0129,194.5534,195.2642,194.4585,194.5936,195.0575,194.0413,194.9162,194.1666,194.2341,194.1698,193.9377,193.2747,194.1787,194.0144,193.7044,194.0055,198.9391,194.766,194.9252,194.6787,194.5075,194.3569,194.491,194.0799
34,200.5135,202.1595,199.9893,200.8453,200.5338,202.9836,199.7863,199.9598,200.3362,201.0755,200.2592,200.4919,201.0709,200.0198,200.8637,199.9716,199.9908,199.9359,199.9193,199.0373,199.9754,200.0269,199.5591,199.8044,204.7705,200.5467,200.7145,200.4614,200.293,200.2409,200.3607,199.9342
35,206.4201,207.9271,205.8933,206.8034,206.4399,208.9934,205.6114,205.8195,206.2944,207.0397,206.1199,206.3139,206.8523,205.8269,206.7157,205.9803,205.9741,205.8393,205.7084,204.979,205.859,205.7914,205.4624,205.7277,210.6964,206.4889,206.7041,206.5042,206.306,206.2254,206.2673,205.8592
36,212.29,213.922,211.7169,212.651,212.4086,214.8441,211.5647,211.6654,212.1264,212.9329,212.097,212.2807,212.8644,211.7424,212.5294,211.7572,211.7121,211.7322,211.7193,210.7183,211.8264,211.7844,211.2348,211.5304,216.6345,212.3255,212.5153,212.3044,212.1299,212.0179,212.0493,211.6516
37,218.1921,219.694,217.7295,218.5856,218.2523,220.9223,217.32,217.6085,217.9587,218.8315,217.9414,218.0567,218.6942,217.5493,218.491,217.7453,217.5904,217.5394,217.5574,216.6949,217.6603,217.6133,217.1907,217.3334,222.4429,218.2205,218.5734,218.3201,218.1278,217.9964,218.0627,217.6512
38,224.0788,225.5724,223.5456,224.5247,224.3347,226.7865,223.3091,223.3793,223.9285,224.8121,223.9616,224.0626,224.627,223.3859,224.3045,223.5478,223.5094,223.5085,223.4059,222.4654,223.6676,223.4849,223.0034,223.2521,228.444,224.138,224.3724,224.1103,223.9166,223.7946,223.8705,223.418
39,229.9725,231.4452,229.5628,230.3153,230.1711,232.89,229.0627,229.3449,229.7695,230.6561,229.7685,229.8339,230.6167,229.2866,230.3894,229.5358,229.275,229.2491,229.3138,228.4237,229.4657,229.3683,228.9962,229.0305,234.2324,229.9219,230.2641,230.0295,229.8571,229.7761,229.8747,229.4223
40,235.8583,237.2712,235.3476,236.2995,236.1511,238.7257,234.9911,235.1265,235.766,236.6534,235.7372,235.7657,236.4599,235.0696,236.1827,235.3482,235.2344,235.2301,235.0937,234.2454,235.485,235.148,234.8193,235.0137,240.1857,235.9289,236.1794,235.8851,235.7338,235.615,235.7047,235.2109
