epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
20,121.943,124.3185,121.5525,121.503,121.5772,121.7699,121.519,121.6468,121.8767,121.8214,121.4698,122.1721,120.9288,121.5894,121.6349,122.0821,123.1053,120.8336,121.2515,122.0871,124.5559,121.9983,121.9882,121.7963,121.8793,121.6526,122.0607,121.9655,121.9903,122.0434,122.0258,121.5364
21,128.0024,130.5185,127.6675,127.4345,127.5549,127.7155,127.4956,127.6159,128.0411,127.7923,127.6258,128.138,127.0515,127.7142,127.5697,128.1645,129.2591,126.9559,127.2999,128.0209,130.7324,128.094,127.9619,127.7805,127.8369,127.6056,128.2811,128.2357,128.1259,128.1718,128.1028,127.5119
22,134.0966,136.4237,133.7392,133.5593,133.5429,133.9136,133.5795,133.7542,134.0124,133.9113,133.5864,134.2234,132.9722,133.7785,133.7805,134.1635,135.4045,133.1085,133.3931,134.2144,136.8173,134.2763,134.2083,133.9831,133.946,133.7175,134.2699,134.2267,134.1979,134.2842,134.2713,133.7347
23,140.143,142.4133,139.6766,139.5993,139.705,139.8421,139.7088,139.901,140.1929,139.9566,139.604,140.2973,139.0983,139.7621,139.8223,140.4338,141.4095,139.3691,139.3227,140.1116,142.8197,140.2227,140.1693,139.9978,140.0273,139.8719,140.4793,140.2854,140.1693,140.2558,140.2385,139.6689
24,146.2299,148.5478,145.8914,145.5999,145.6223,145.8717,145.7367,145.8188,146.2135,145.8915,145.8638,146.252,145.0879,145.9805,145.8343,146.4364,147.748,145.323,145.5025,146.1575,149.0696,146.4234,146.2578,146.0166,145.9886,145.814,146.5392,146.473,146.4251,146.5152,146.4226,145.8014
25,152.3185,154.4536,151.8335,151.8019,151.7327,151.9809,152.246,151.9906,152.2384,152.1093,151.9736,152.4577,151.0173,151.9209,152.0135,152.5696,153.84,151.3307,151.5181,152.2098,155.0388,152.4431,152.3454,152.2149,152.2459,152.0465,152.5617,152.4496,152.4088,152.5085,152.4661,151.9057
26,158.3722,160.7674,157.8556,157.7203,157.7424,157.9019,158.3849,157.9135,158.4188,158.05,158.1236,158.433,157.2077,157.9783,157.9988,158.6889,159.874,157.4615,157.4776,158.1137,161.2143,158.4768,158.2998,158.2103,158.1822,158.0342,158.8705,158.6376,158.54,158.6153,158.497,157.8471
27,164.4826,167.115,164.0644,163.8304,163.8535,164.0631,164.347,163.972,164.3856,164.0716,164.1517,164.4864,163.2804,164.0441,164.1724,164.67,166.0276,163.4323,163.6273,164.2918,167.3525,164.7137,164.5384,164.3582,164.2727,164.0892,164.8604,164.6863,164.6803,164.7685,164.698,164.0558
28,170.5423,173.0771,170.026,169.8881,170.2566,170.0443,170.5422,170.0947,170.5534,170.164,170.1082,170.5863,169.5019,169.9802,170.2076,170.9146,172.0507,169.556,169.5743,170.2608,173.3254,170.6901,170.4904,170.4089,170.4046,170.2674,171.035,170.7532,170.6504,170.7356,170.6686,169.9955
29,176.627,179.2897,176.1797,175.8452,176.2523,176.0517,176.4507,176.0943,176.6314,176.0978,176.3206,176.5286,175.5638,176.1601,176.2075,176.9015,178.4908,175.5636,175.6331,176.2891,179.5997,176.8413,176.5655,176.3877,176.356,176.228,177.1594,177.0093,176.9141,176.9743,176.8204,176.0303
30,182.7155,185.2214,182.1994,182.0918,182.2881,182.191,182.494,182.5352,182.5861,182.2643,182.2642,182.6806,181.4841,182.107,182.4202,182.9645,184.8432,181.5199,181.6922,182.4523,185.5618,182.9185,182.727,182.6265,182.5568,182.4218,183.1415,182.9726,182.904,182.986,182.8835,182.1819
31,188.7765,191.2827,188.2001,187.9961,188.4354,188.1195,188.6122,188.5833,188.8728,188.3042,188.3243,188.6521,187.6577,188.1251,188.3674,189.1167,190.7692,187.7156,187.6372,188.377,191.6457,188.923,188.6939,188.5929,188.5418,188.4652,189.4469,189.6111,188.9763,189.0447,188.8625,188.1191
32,194.8917,197.4222,194.3661,194.0331,194.3935,194.227,194.564,194.5338,194.8212,194.3072,194.3817,194.659,193.5538,194.2556,194.4599,195.1194,196.9028,193.6616,193.805,194.5044,197.7947,195.1621,194.9167,194.6817,194.6036,194.4392,195.414,196.9301,195.1252,195.2323,195.0944,194.2782
33,200.9485,203.3815,200.3199,200.1371,200.5131,200.26,200.7307,200.7729,200.8709,200.4932,200.3256,200.8269,199.6017,200.259,200.5304,201.3226,202.9445,199.7126,199.7537,200.4921,203.7291,201.1347,200.9201,200.795,200.7736,200.6639,201.5244,202.9716,201.0887,201.1889,201.0535,200.311
34,207.0103,209.5984,206.4684,206.0699,206.5514,206.2296,206.7249,206.7269,207.0124,206.4406,206.4848,206.7823,205.7038,206.4091,206.4822,207.3464,208.9566,205.758,205.7978,206.4704,209.9316,207.2754,206.9738,206.7514,206.7214,206.5981,207.6819,209.1937,207.2791,207.3853,207.1896,206.3229
35,213.1011,215.6194,212.5247,212.242,212.4868,212.423,212.7155,212.7896,212.9919,212.5675,212.4011,213.1097,211.6275,212.4382,212.7039,213.3835,215.2346,211.7003,211.8928,212.6493,215.9293,213.4024,213.2247,212.9902,212.8952,212.7255,213.6505,215.1734,213.3257,213.4768,213.341,212.4984
36,219.1666,221.6137,218.4881,218.2008,218.6922,218.4403,218.8953,218.9115,219.3238,218.6427,218.4699,219.4705,217.7825,218.4479,218.6427,219.5833,221.1561,217.9115,217.8261,218.5488,221.9808,219.3892,219.1895,218.9803,218.926,218.7942,219.888,221.3422,219.3434,219.5061,219.3124,218.4657
37,225.2465,227.7617,224.6717,224.2167,224.6186,224.7874,224.8902,224.8776,225.3589,224.5805,224.5557,225.4207,223.7515,224.5989,224.6759,225.5698,227.2015,223.8114,223.9524,224.641,228.1636,225.6462,225.326,225.0414,224.9282,224.7761,225.8893,227.4299,225.5819,225.7273,225.6054,224.5852
38,231.3079,233.7114,230.6261,230.3528,230.667,230.895,230.9928,231.0717,231.5106,230.768,230.501,231.5265,229.7584,230.545,230.8056,231.7349,233.2969,229.8269,229.9282,230.6686,234.1359,231.6154,231.3836,231.1699,231.1502,231.0758,231.9354,233.435,231.5625,231.6832,231.5756,230.6364
39,237.3792,239.8234,236.7418,236.2838,236.7587,236.8336,237.1068,237.0461,238.1495,236.7214,236.6505,237.5487,235.9177,236.6563,236.7781,237.8181,239.2182,235.9295,235.9399,236.5612,240.3242,237.6797,237.3807,237.1319,237.0951,237.0358,238.1267,239.7066,237.729,237.8337,237.6489,236.5799
40,243.4647,245.8622,242.8069,242.4226,242.7013,243.0396,243.0632,243.0689,244.2375,242.8209,242.6424,243.4752,241.8499,242.7243,242.9576,243.8377,245.429,241.8612,242.0711,242.7434,246.3832,243.8183,243.6664,243.3471,243.2397,243.0985,244.1409,245.6836,243.8375,243.9319,243.8336,242.811
