epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
1,7.0432,6.852,6.8104,6.871,7.0331,6.9317,6.8753,6.7769,12.146,6.5428,6.5615,6.8119,6.5151,6.8094,6.4854,6.7144,6.5169,6.7077,6.5658,6.6016,6.4947,6.8231,6.4968,6.6977,6.5495,6.7009,6.434,6.7171,6.4919,12.0667,6.9274,6.8094
2,13.752,13.7189,13.7113,13.7221,13.8403,13.8834,13.8083,13.9121,18.5934,13.2509,13.3854,13.3852,13.3005,13.3763,13.0108,13.2607,13.2775,13.2868,13.208,13.5015,13.2563,13.3695,13.3032,13.3198,13.2576,13.3345,12.8742,13.2593,13.3044,18.4185,13.5566,13.6232
3,20.4663,20.7288,20.6421,20.709,20.9592,20.8026,20.6882,20.8698,25.3229,19.9395,19.9457,20.1305,19.8511,20.1144,19.4042,20.0378,19.8907,19.9366,19.9206,20.0752,19.8136,20.1193,19.8782,19.9786,19.942,20.0228,19.2308,20.0334,19.8477,24.8563,20.3931,20.3703
4,27.1825,27.5902,27.4335,27.5164,27.7677,27.7477,27.7384,28.0565,31.9106,26.5125,26.7342,26.7725,26.5652,26.8789,26.0442,26.6156,26.5494,26.6178,26.4594,26.9008,26.5411,26.7469,26.6075,26.6923,26.4933,26.7571,25.8061,26.5796,26.5844,31.1126,27.0912,27.235
5,33.8972,34.6709,34.4418,34.5387,34.7476,34.5722,34.5333,35.064,38.5721,33.3173,33.3453,33.4133,33.3606,33.491,32.4233,33.3005,33.2397,33.1818,33.2696,33.5715,33.2224,33.3743,33.3121,33.2356,33.2742,33.3016,32.1439,33.2594,33.2362,37.6798,33.8274,33.8908
6,40.616,41.4965,41.2322,41.3173,41.6481,41.6592,41.5919,42.0262,45.3125,39.8771,40.0064,40.1298,39.941,40.2434,39.028,39.9776,39.8032,39.9743,39.8111,40.2769,39.8358,40.0777,39.9002,40.0246,39.8126,40.1331,38.7053,39.9142,39.8715,44.0595,40.6074,40.8021
7,47.3281,48.5003,48.2329,48.3267,48.5441,48.4615,48.3975,48.9525,51.9182,46.6509,46.7285,46.712,46.7153,46.7873,45.4908,46.5631,46.611,46.52,46.5277,47.053,46.5977,46.6275,46.7219,46.5695,46.5466,46.6786,45.103,46.5019,46.5854,50.8321,47.2368,47.4777
8,54.0434,55.3289,55.0021,55.1988,55.5581,55.4657,55.3707,55.7465,58.8335,53.2513,53.2866,53.5042,53.2632,53.6068,51.9549,53.3323,53.1627,53.2547,53.1305,53.6239,53.1295,53.3961,53.28,53.3317,53.1502,53.4481,51.5329,53.2509,53.1389,57.3252,54.1353,54.3514
9,60.7609,62.2483,61.9328,62.0913,62.3722,62.3133,62.3333,62.716,65.4659,59.9292,60.1492,60.0532,60.1059,60.204,58.5525,59.8773,59.9433,59.8754,59.7368,60.4985,59.9236,59.9384,60.0771,59.96,59.7877,60.0884,58.1065,59.8135,59.9532,63.7173,60.7633,61.0614
10,67.4695,69.1355,68.7915,69.0356,69.4569,69.2706,69.232,69.4438,72.3316,66.6207,66.7533,66.7471,66.7042,66.9018,64.922,66.6546,66.5531,66.5176,66.4481,67.0581,66.4502,66.6736,66.678,66.5712,66.5032,66.7669,64.4769,66.5646,66.4951,70.3587,67.6427,67.7945
11,74.197,76.0029,75.6632,75.8784,76.3131,76.175,76.2289,76.419,79.543,73.1986,73.5361,73.4032,73.3699,73.5792,71.5953,73.235,73.1975,73.2002,73.0137,73.8012,73.1094,73.3301,73.4046,73.2999,73.0701,73.5141,71.1026,73.1278,73.1555,76.7142,74.3179,74.6069
12,80.8943,82.9323,82.6265,82.9542,83.3916,83.0416,83.0099,83.1327,86.2338,80.012,80.1609,80.0316,80.0562,80.1864,77.9862,79.8619,79.8869,79.753,79.8044,80.499,79.7436,79.9661,80.0857,79.841,79.8696,80.0645,77.49,79.7782,79.7853,83.2674,81.0604,81.2112
13,87.6024,89.6762,89.4181,89.7466,90.2869,90.0621,90.04,90.0471,92.9897,86.5739,86.8018,86.7566,86.61,86.9919,84.5468,86.551,86.4317,86.5817,86.3392,87.1202,86.2989,86.7484,86.6506,86.6105,86.41,86.8671,83.9535,86.4645,86.3789,89.7641,87.8297,88.1275
