epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
1,7.0692,12.0146,6.6388,6.6714,6.7771,6.6579,6.8176,6.6021,6.842,6.8519,6.8623,6.846,6.8923,12.2878,6.7999,6.7715,6.7466,6.7148,6.667,6.3358,6.6488,6.623,6.6129,6.6966,6.7298,6.5462,6.6799,6.6754,6.7316,6.7839,6.7942,6.8262
2,13.8071,19.8944,13.4425,13.3823,13.3722,13.3643,13.7321,13.3482,13.7665,13.7498,13.7032,13.768,13.682,18.7425,13.4538,13.4897,13.4117,13.4327,13.4226,12.8399,13.332,13.2965,13.4251,13.2561,13.3741,12.7293,13.2434,13.3493,13.4917,13.5948,13.4729,13.4559
3,20.5256,26.2361,20.0623,20.0782,20.1294,20.0056,20.5609,19.9852,20.5901,20.5665,20.5738,20.6116,20.6671,25.2744,20.2956,20.3392,20.2553,20.2069,20.1953,19.316,20.1467,20.0851,20.1472,20.1054,19.988,19.1055,20.0103,19.9676,20.1359,20.2943,20.1529,20.2046
4,27.2178,32.6486,26.8526,26.7445,26.7246,26.8581,27.4842,26.8278,27.5145,27.4816,27.4376,27.4979,27.4335,31.6535,26.8971,26.933,26.8995,26.7934,26.799,25.7043,26.7726,26.6694,26.8413,26.6478,26.7548,25.5359,26.5998,26.7442,26.9896,27.1399,26.9412,26.9292
5,33.9772,39.0579,33.4853,33.4384,33.4693,33.6071,34.3327,33.5767,34.3395,34.3221,34.3577,34.3536,34.3491,39.2921,33.7355,33.8191,33.7563,33.6215,33.6613,32.2631,33.6037,33.5242,33.6051,33.4111,33.308,31.8141,33.3768,33.3123,33.5921,33.7809,33.5234,33.6034
6,40.6845,45.4368,40.2801,40.1516,40.0405,40.3402,41.2974,40.4821,41.2379,41.2084,41.2284,41.2518,41.1172,45.7568,40.4058,40.4507,40.4396,40.2096,40.2949,38.614,40.2101,40.0905,40.2224,40.0349,40.1146,38.3979,39.9607,40.0525,40.4295,40.6579,40.3686,40.4369
7,47.4125,51.9343,46.8916,47.0142,46.8056,46.9497,48.0715,47.3268,48.0712,48.0892,48.1908,48.0943,48.071,52.4561,47.179,47.2359,47.228,46.9927,47.1437,45.2344,47.0174,46.8739,47.147,46.6685,46.6536,44.7108,46.6546,46.6601,47.0657,47.2812,47.0248,47.0509
8,54.1321,58.2953,53.6819,53.7059,53.3929,53.6466,54.9725,54.2906,54.988,54.9406,55.0131,55.0185,54.8365,59.0766,53.9352,53.9742,54.0015,53.6859,53.7923,51.6882,53.6653,53.5718,53.7293,53.3954,53.3506,51.18,53.3331,53.3363,53.8245,54.0382,53.8502,53.8844
9,60.8513,64.8345,60.2932,60.4294,60.1843,60.2751,61.7384,61.2315,61.8441,61.7773,61.9216,61.9311,61.7209,65.8106,60.5808,60.6983,60.7519,60.385,60.5816,58.2347,60.3583,60.3077,60.5272,59.9403,60.0358,57.6133,59.9148,60.0402,60.5619,60.7918,60.5216,60.5523
10,67.5963,71.2017,67.1003,67.1202,66.7564,67.0244,68.6775,68.2369,68.7069,68.6468,68.7379,68.8024,68.4763,72.6273,67.4272,67.5445,67.6084,67.1884,67.3303,64.8789,67.1205,67.1138,67.1566,66.7347,66.6326,63.9809,66.6893,66.6446,67.2782,67.485,67.2227,67.3339
11,74.3318,77.7794,74.2047,73.8006,73.534,73.6653,75.4709,75.1594,75.5862,75.5134,75.6721,75.7102,75.4258,79.2769,74.0635,74.1741,74.225,73.7818,73.999,71.359,73.7383,73.7638,73.872,73.2952,73.3841,70.572,73.2383,73.4566,74.138,74.3275,74.0003,74.0973
12,81.0827,84.1842,80.9856,80.4923,80.1657,80.392,82.4003,82.06,82.4857,82.3681,82.4909,82.5539,82.2045,86.2157,80.8961,81.0645,81.0966,80.6259,80.8482,78.1775,80.5829,80.6256,80.6523,80.0069,79.948,76.9216,80.006,80.0063,80.7948,80.9669,80.5802,80.7633
13,87.8199,90.9974,87.607,87.1878,86.9522,87.0077,89.193,88.938,89.3966,89.2622,89.4103,89.4823,89.1556,92.9428,87.5377,87.6955,87.7145,87.2065,87.4412,84.7391,87.1773,87.2107,87.2582,86.6731,86.7905,83.4955,86.6142,86.7636,87.6932,87.8539,87.4354,87.5844
14,94.5654,97.4739,94.4282,93.8722,93.564,93.7545,96.2152,95.7706,96.278,96.1151,96.2321,96.3235,96.08,99.8896,94.2984,94.4951,94.4959,94.0133,94.2814,91.5078,93.9797,94.0168,94.0938,93.3138,93.3706,89.9534,93.2643,93.3646,94.3316,94.4876,94.0387,94.2222
15,101.3133,104.0987,101.073,100.5479,100.3203,100.3912,103.0245,102.6487,103.1793,103.0055,103.138,103.2382,103.0557,106.6436,101.081,101.2459,101.2362,100.6905,100.9262,98.2286,100.6305,100.6833,100.6949,100.1106,100.0614,96.4303,99.9671,100.027,101.1383,101.2672,100.8385,101.0893
