epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
20,120.0406,121.4874,120.918,118.7487,121.5555,121.4109,121.4123,120.7459,120.9128,121.9011,121.9393,121.1454,121.2454,120.8555,121.463,121.5919,121.2287,122.1076,121.6376,121.1783,116.8857,116.9042,116.817,117.1188,116.813,116.8564,116.6143,116.688,117.3124,116.7728,127.0285,121.9627
21,126.019,127.573,126.8485,124.7603,127.5092,127.395,127.5975,126.6978,127.0508,128.0565,128.0477,127.1121,127.3236,127.0321,127.5343,127.6185,127.3838,128.1387,127.8017,126.968,122.7584,122.746,122.589,123.0107,122.6529,122.6235,122.5481,122.4274,123.2842,122.533,133.0089,127.9575
22,131.9942,133.4945,132.9988,130.5915,133.6423,133.4862,133.551,132.8125,132.9705,134.0421,134.051,133.3038,133.3948,133.0065,133.576,133.7692,133.3717,134.2849,133.8275,132.8251,128.522,128.5876,128.417,128.8414,128.442,128.5425,128.289,128.3895,129.0325,128.4782,139.1104,134.1693
23,137.9889,139.655,138.9646,136.6442,139.6068,139.5526,139.7687,138.728,139.047,140.1117,140.2694,139.2918,139.4141,139.1847,139.729,139.7422,139.5376,140.2987,140.0467,138.4806,134.4607,134.3458,134.2679,134.6299,134.4138,134.2929,134.2202,134.1266,135.1354,134.2209,145.2446,140.2224
24,143.9605,145.5745,145.0871,142.477,145.6951,145.5473,145.7281,144.8479,145.0057,146.1805,146.2646,145.3902,145.5391,145.1385,145.7166,145.9119,145.5401,146.5089,146.0453,144.363,140.2122,140.3062,140.0093,140.563,140.1667,140.237,139.9766,140.063,140.8721,140.1942,151.2921,146.3228
25,149.9406,151.732,151.0475,148.4697,151.6406,151.6243,151.8311,150.7323,151.0042,152.1718,152.4429,151.4537,151.5026,151.236,151.9081,151.911,151.7175,152.491,152.1878,150.047,146.1672,146.0776,145.9532,146.2901,146.1154,145.9782,145.9369,145.8053,146.7669,145.9634,157.5009,152.4511
26,155.9118,157.6538,157.1525,154.4521,157.6625,157.5735,157.7979,156.8369,157.0485,158.3274,158.4173,157.4701,157.6789,157.1922,157.8849,158.105,157.7027,158.6662,158.2596,155.9386,151.9332,152.0144,151.7192,152.2319,151.8644,151.8708,151.7336,151.6451,152.6304,151.8002,163.5566,158.4467
27,161.8799,163.7179,163.0488,160.3544,163.6744,163.7101,163.8312,162.7514,162.9793,164.3077,164.5701,163.5916,163.6609,163.1964,164.0493,164.0742,163.8259,164.6207,164.3247,161.6425,157.859,157.7552,157.6383,157.997,157.7925,157.6833,157.5284,157.5425,158.4274,157.6807,169.8003,164.6393
28,167.8549,169.6338,169.177,166.4817,169.6151,169.6084,169.8911,168.7514,169.1411,170.4756,170.541,169.5755,169.8215,169.2784,170.0513,170.2556,169.8263,170.7653,170.4823,167.4279,163.6565,163.6483,163.4013,163.8928,163.5818,163.504,163.4812,163.2857,164.3709,163.4278,175.82,170.6299
29,173.8317,175.6557,175.1796,172.4793,175.7192,175.7618,175.8951,174.7391,175.0574,176.4463,176.6868,175.7458,175.7872,175.2713,176.2241,176.2847,175.8542,176.8037,176.4845,173.2328,169.4542,169.4574,169.2384,169.6788,169.4282,169.3995,169.2213,169.2328,170.1547,169.3677,182.0325,176.8091
30,179.8023,181.7042,181.1384,178.6514,181.6251,181.6979,181.9777,180.6644,181.1679,182.6133,182.7638,181.7298,181.9154,181.3524,182.2183,182.3601,181.9656,182.8637,182.6884,178.9234,175.3787,175.2373,175.0728,175.4903,175.3001,175.1439,175.18,174.9768,176.1181,175.1174,188.0462,182.7874
31,185.7795,187.6177,187.2742,184.6574,187.7942,187.7559,187.9022,186.7522,187.0986,188.6009,188.8529,187.9029,187.9057,187.2687,188.3199,188.4483,187.8897,188.9938,188.6625,184.8902,181.1163,181.1425,180.8382,181.3732,181.0385,181.1154,180.944,180.936,181.8641,181.0645,194.1972,188.9474
32,191.7743,193.7578,193.2325,190.8879,193.7447,193.7627,194.0727,192.6943,193.2424,194.7708,194.9663,193.8927,193.9685,193.3735,194.4062,194.5039,194.0507,195.0046,194.8391,190.6358,187.0814,186.8825,186.845,187.1184,186.9837,186.8597,186.9165,186.6836,187.7931,186.8258,200.2833,194.9225
33,197.761,199.6763,199.3951,196.856,199.8604,199.824,200.0276,198.7984,199.2232,200.788,200.9708,200.0607,200.0371,199.2957,200.4317,200.6473,200.0196,201.215,200.838,196.5932,192.8494,192.8591,192.5836,193.0618,192.7177,192.7973,192.6822,192.5458,193.5843,192.6994,206.3988,201.2523
34,203.7503,205.7924,205.3418,202.9878,205.7927,205.9218,206.1563,204.6974,205.3123,206.8851,207.1515,206.0313,206.039,205.4093,206.6164,206.6591,206.1697,207.2076,207.0299,202.3437,198.8482,198.6022,198.4839,198.8147,198.6702,198.5639,198.5111,198.3787,199.4076,198.5845,212.5144,207.3338
35,209.715,211.7643,211.4644,208.9586,211.9012,211.9121,212.1317,210.7814,211.3199,212.9391,213.1347,212.1044,212.1426,211.3174,212.6126,212.8665,212.1806,213.3969,213.0124,208.2305,204.5856,204.5123,204.2467,204.7671,204.4388,204.3793,204.4147,204.1393,205.3193,204.3567,218.4825,213.3519
36,215.6983,217.8638,217.3917,214.9519,217.8588,218.0466,218.2131,216.6955,217.2768,218.9623,219.3177,218.175,218.0807,217.3853,218.7925,218.8709,218.3438,219.3591,219.1702,214.1279,210.4555,210.2897,210.1347,210.523,210.2748,210.2299,210.1698,210.059,211.0951,210.3062,224.7132,219.513
37,221.6724,223.7914,223.481,220.9779,223.8655,223.9852,224.2108,222.7732,223.3288,225.1108,225.3229,224.2077,224.2532,223.3729,224.8113,225.0451,224.3317,225.5264,225.2246,219.916,216.3242,216.1263,215.9301,216.3649,216.1755,215.9687,216.2354,215.8355,217.0716,216.0536,230.7291,225.4941
38,227.6709,229.8906,229.46,226.9126,230.0056,230.1483,230.2953,228.7532,229.269,231.1043,231.5686,230.3246,230.2128,229.4143,230.9886,231.0335,230.4897,231.5414,231.3158,225.9238,222.0644,222.0253,221.7102,222.2203,221.9327,221.9229,221.9928,221.8287,222.8301,221.9586,236.9829,231.6759
39,233.6563,235.9273,235.4732,233.0509,235.9323,236.1235,236.3659,234.7296,235.4142,237.2719,237.5767,236.3021,236.4068,235.5465,237.0012,237.2568,236.5278,237.673,237.4519,231.6629,228.0239,227.7686,227.6075,227.9544,227.9037,227.6741,227.9463,227.5746,228.8061,227.6954,243.0346,237.6619
40,239.6442,241.9006,241.5511,238.9512,242.0376,242.3123,242.3319,240.7824,241.3849,243.2627,243.6453,242.4762,242.3679,241.525,243.1843,243.3108,242.5969,243.7187,243.4647,237.598,233.7873,233.73,233.385,233.9417,233.6685,233.566,233.7128,233.5198,234.5706,233.6021,249.2383,243.8468
41,245.6241,248.0024,247.4985,245.0603,247.994,248.2769,248.5013,246.7208,247.5522,249.4153,249.7431,248.4484,248.4754,247.6656,249.1997,249.4188,248.6939,249.7685,249.6322,243.3833,239.7382,239.4735,239.315,239.6832,239.5878,239.3047,239.5672,239.3102,240.4217,239.4128,255.2464,249.8368
42,251.6114,253.9261,253.6207,250.9648,254.1549,254.3884,254.4073,253.2833,253.5138,255.3962,255.808,254.6354,254.4762,253.5843,255.2882,255.4876,254.6554,255.8708,255.6347,249.2853,245.493,245.3775,245.09,245.6012,245.352,245.1603,245.433,245.1606,246.3354,245.1974,261.4344,255.9365
43,257.601,260.0434,259.585,257.0946,260.1089,260.4004,260.5449,259.1973,259.6133,261.5587,262.0016,260.6101,260.5352,259.6952,261.3767,261.5065,260.8062,261.8842,261.8487,255.0958,251.3706,251.1341,251.0119,251.3787,251.2128,251.0091,251.2144,251.0533,252.0949,251.1022,267.5551,261.9884
