epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
1,7.167,6.6901,6.7269,6.9673,6.8599,6.7438,6.9017,6.7218,6.6987,6.8954,6.8863,6.7384,7.2754,12.0892,6.5319,6.6543,6.7993,6.5695,6.6845,6.5614,6.7947,6.7259,6.5718,6.7896,6.7224,13.8838,6.7517,6.8737,6.6944,6.9346,6.6516,6.7855
2,13.9681,13.4188,13.6973,13.7777,13.6642,13.6914,13.8287,13.605,13.6415,13.7018,13.6889,13.6825,14.0802,18.486,13.3218,13.4611,13.4086,13.4134,13.3427,13.4704,13.4622,13.3258,13.4107,13.764,13.3442,20.7673,13.6217,13.6985,13.503,13.6189,13.6018,13.5124
3,20.7673,20.1737,20.4708,20.7425,20.5792,20.4741,20.775,20.4602,20.3994,20.6119,20.6326,20.5018,21.0015,25.0179,19.9772,20.1181,20.2177,20.0633,20.1337,20.1359,20.2992,20.1197,20.0497,20.4305,20.1901,27.5454,20.5383,20.5154,20.3984,20.4476,20.2899,20.4745
4,27.5556,26.9546,27.3893,27.5104,27.3881,27.3966,27.6473,27.402,27.3077,27.3912,27.4051,27.4208,27.7833,31.4169,26.7636,26.9187,26.8275,26.8816,26.7956,26.9703,26.9476,26.6991,26.8635,27.2485,26.8462,34.6223,27.3128,27.4614,27.0658,27.253,27.1871,27.1447
5,34.3423,33.7076,34.1592,34.4191,34.4011,34.1952,34.5384,34.3018,34.0855,34.3092,34.3241,34.2268,34.6787,37.9646,33.3566,33.5447,33.6225,33.5116,33.5493,33.5794,33.8005,33.4959,33.4671,33.8724,33.6699,41.4229,34.3191,34.1656,34.0389,33.9562,33.877,34.0498
6,41.1437,40.4791,41.0978,41.1863,41.3717,41.1884,41.4212,41.2793,40.986,41.2746,41.0863,41.1831,41.4217,44.3522,40.1257,40.3709,40.2069,40.3771,40.2492,40.3735,40.3886,40.0882,40.3204,40.6374,40.3019,48.4977,41.0105,41.1666,40.7353,40.8721,40.6579,40.7466
7,47.9432,47.2454,47.8522,48.158,48.2556,48.0234,48.2857,48.1504,47.742,48.267,48.0334,47.9605,48.357,51.2025,46.7726,46.9986,47.0076,47.0199,46.975,47.0184,47.2259,46.8678,46.9379,47.2768,47.1446,55.3903,48.0106,47.8507,47.6632,47.5411,47.4672,47.5384
8,54.7859,54.0353,54.8004,54.9092,55.0731,55.0215,55.2044,55.0664,54.6748,55.0374,54.7894,54.8967,55.1208,59.2193,53.5562,53.8483,53.6125,53.8427,53.7318,53.8258,53.8838,53.4833,53.7275,54.0457,53.7633,62.2557,54.7979,54.7428,54.4259,54.4423,54.1662,54.3624
9,61.5703,60.8352,61.593,61.8567,61.9931,61.8194,62.0612,61.9349,61.4474,61.9686,61.7208,61.6753,62.0235,65.7772,60.2049,60.4991,60.4629,60.4545,60.4262,60.4343,60.7661,60.3117,60.3378,60.6435,60.618,69.1243,61.6671,61.5235,61.2449,61.1242,61.0786,61.0507
10,68.3884,67.8071,68.5632,68.6531,68.8561,68.8312,68.9745,68.8379,68.4028,68.7679,68.4976,68.6335,68.7726,72.2226,66.9688,67.3099,67.1572,67.2547,67.1077,67.2278,67.3907,66.9227,67.1706,67.429,67.2403,76.3292,68.586,68.2986,68.1563,67.9267,67.7295,68.0148
11,75.1836,74.732,75.3336,75.5787,75.8041,75.6737,75.8601,75.687,75.1735,75.6991,75.4383,75.4014,75.6977,78.8565,73.6488,73.9292,74.0432,73.8519,73.8216,73.8197,74.2413,73.709,73.7873,74.0673,74.0474,83.2862,75.3025,75.1977,74.8554,74.7511,74.6384,74.7575
12,81.9857,81.5397,82.2465,82.3654,82.5812,82.6622,82.7996,82.5517,82.0932,82.4969,82.2001,82.3002,82.4605,85.3235,80.4098,80.768,80.6506,80.6828,80.7762,80.6437,80.8696,80.2928,80.6209,80.8439,80.7276,89.9724,82.3676,81.9258,81.7928,81.5453,81.3998,81.6455
13,88.7814,88.417,89.0208,89.2945,89.4991,89.5055,89.6441,89.3816,88.86,89.4052,89.1188,89.07,89.4545,92.0231,87.1696,87.3686,87.4446,87.3213,87.4575,87.2126,87.7128,87.0406,87.2593,87.4874,87.5559,96.9052,89.0972,88.9597,88.4712,88.4467,88.2124,88.4055
14,95.5753,95.2613,95.9514,96.0903,96.2743,96.6523,96.6173,96.2424,95.7587,96.2035,95.8762,95.9784,96.2278,98.4894,94.0592,94.1807,94.0167,94.1131,94.1927,94.0059,94.3342,93.6111,94.107,94.3322,94.1505,103.6817,96.039,95.6653,95.3585,95.109,95.04,95.2153
15,102.3743,102.1526,102.7293,103.0471,103.233,103.4363,103.4876,103.1042,102.5249,103.0878,103.0092,102.7495,103.1603,105.1533,100.7175,100.8109,100.8168,100.7378,100.8786,100.5889,101.1849,100.3685,100.7474,100.9581,100.9704,110.58,102.8607,102.5296,102.1432,102.0178,101.7219,102.0948
16,109.1735,108.9729,109.6977,109.8713,110.0018,110.4137,110.4447,110.0099,109.4474,109.9197,109.8364,109.6648,109.9271,111.6315,107.5076,107.6264,107.4102,107.5726,107.6237,107.3977,107.8474,106.9625,107.5619,107.8018,107.5709,117.4962,109.6942,109.3592,108.8933,108.7652,108.6427,108.8066
17,115.9766,115.8848,116.4942,116.7924,116.945,117.2145,117.296,116.9209,116.2078,116.8079,116.7239,116.4375,116.8982,118.3274,114.2007,114.2281,114.1976,114.2139,114.3323,114.0075,114.9999,113.7491,114.2332,114.3945,114.3741,124.2442,116.6335,116.1601,115.753,115.5805,115.2853,115.7368
18,122.7849,122.7689,123.4574,123.6493,123.716,124.1894,124.2779,123.7813,123.1517,123.6707,123.5221,123.3744,123.6528,124.8364,120.9377,121.0115,120.8047,121.0109,121.082,120.7837,121.8405,120.3471,121.0252,121.1907,121.0331,131.294,123.3466,123.1024,122.392,122.4742,122.1815,122.4258
19,129.5777,129.7165,130.299,130.5488,130.6272,130.9783,131.1096,130.6754,129.9382,130.5521,130.4381,130.1938,130.5978,131.5359,127.6632,127.6456,127.616,127.6573,127.7444,127.4072,128.4968,127.0951,127.7065,127.8147,127.8579,138.0342,130.3556,129.8308,129.3316,129.2251,128.9099,129.3072
20,136.3849,136.5379,137.221,137.3802,137.404,137.922,138.1534,137.5405,136.8674,137.4024,137.2377,137.1672,137.3754,138.0592,134.4184,134.4602,134.2015,134.4257,134.4666,134.2135,135.2268,133.7086,134.5125,134.6293,134.4725,144.9918,137.1119,136.8391,136.0184,136.1879,135.6992,136.0795
21,143.1929,143.4679,144.2028,144.3141,144.3169,144.7576,145.1147,144.4355,143.6376,144.2864,144.1624,143.937,144.2965,144.7786,141.0835,141.0618,140.9691,141.1072,141.1181,140.8475,141.8967,140.434,141.407,141.259,141.4065,151.8,144.0526,143.6624,142.8773,142.9054,142.5349,142.8491
22,150.0052,150.3433,151.1088,151.1664,151.0679,151.7143,152.0478,151.3211,150.6178,151.1371,150.9507,150.8642,151.0599,151.3031,147.8043,147.8832,147.5822,147.8568,147.9179,147.6474,148.6417,147.0424,148.1831,148.086,148.2875,158.6888,150.8847,150.5445,149.6533,149.8334,149.192,149.73
